Date,Year,Quarter,Date2,US GDP (SAAR),Atlas Predicted (SAAR),,,,,,,,,,,,
2000-01-01,2000,1,2000 Q1,1.5%,,,,,,,,,,,,,
2000-04-01,2000,2,2000 Q2,7.5%,,,,,,,,,,,,,
2000-07-01,2000,3,2000 Q3,0.4%,,,,,,,,,,,,,
2000-10-01,2000,4,2000 Q4,2.4%,,,,,,,,,,,,,
2001-01-01,2001,1,2001 Q1,-1.3%,,,,,,,,,,,,,
2001-04-01,2001,2,2001 Q2,2.5%,,,,,,,,,,,,,
2001-07-01,2001,3,2001 Q3,-1.6%,,,,,,,,,,,,,
2001-10-01,2001,4,2001 Q4,1.1%,,,,,,,,,,,,,
2002-01-01,2002,1,2002 Q1,3.4%,,,,,,,,,,,,,
2002-04-01,2002,2,2002 Q2,2.5%,,,,,,,,,,,,,
2002-07-01,2002,3,2002 Q3,1.6%,,,,,,,,,,,,,
2002-10-01,2002,4,2002 Q4,0.5%,,,,,,,,,,,,,
2003-01-01,2003,1,2003 Q1,2.1%,,,,,,,,,,,,,
2003-04-01,2003,2,2003 Q2,3.6%,,,,,,,,,,,,,
2003-07-01,2003,3,2003 Q3,6.8%,,,,,,,,,,,,,
2003-10-01,2003,4,2003 Q4,4.7%,,,,,,,,,,,,,
2004-01-01,2004,1,2004 Q1,2.3%,,,,,,,,,,,,,
2004-04-01,2004,2,2004 Q2,3.1%,,,,,,,,,,,,,
2004-07-01,2004,3,2004 Q3,3.8%,,,,,,,,,,,,,
2004-10-01,2004,4,2004 Q4,4.1%,,,,,,,,,,,,,
2005-01-01,2005,1,2005 Q1,4.5%,,,,,,,,,,,,,
2005-04-01,2005,2,2005 Q2,2.0%,,,,,,,,,,,,,
2005-07-01,2005,3,2005 Q3,3.2%,,,,,,,,,,,,,
2005-10-01,2005,4,2005 Q4,2.2%,,,,,,,,,,,,,
2006-01-01,2006,1,2006 Q1,5.5%,,,,,,,,,,,,,
2006-04-01,2006,2,2006 Q2,1.0%,,,,,,,,,,,,,
2006-07-01,2006,3,2006 Q3,0.6%,,,,,,,,,,,,,
2006-10-01,2006,4,2006 Q4,3.5%,,,,,,,,,,,,,
2007-01-01,2007,1,2007 Q1,1.2%,,,,,,,,,,,,,
2007-04-01,2007,2,2007 Q2,2.5%,,,,,,,,,,,,,
2007-07-01,2007,3,2007 Q3,2.3%,,,,,,,,,,,,,
2007-10-01,2007,4,2007 Q4,2.5%,,,,,,,,,,,,,
2008-01-01,2008,1,2008 Q1,-1.7%,,,,,,,,,,,,,
2008-04-01,2008,2,2008 Q2,2.4%,,,,,,,,,,,,,
2008-07-01,2008,3,2008 Q3,-2.1%,,,,,,,,,,,,,
2008-10-01,2008,4,2008 Q4,-8.5%,,,,,,,,,,,,,
2009-01-01,2009,1,2009 Q1,-4.5%,,,,,,,,,,,,,
2009-04-01,2009,2,2009 Q2,-0.7%,,,,,,,,,,,,,
2009-07-01,2009,3,2009 Q3,1.4%,,,,,,,,,,,,,
2009-10-01,2009,4,2009 Q4,4.4%,,,,,,,,,,,,,
2010-01-01,2010,1,2010 Q1,2.0%,,,,,,,,,,,,,
2010-04-01,2010,2,2010 Q2,3.9%,,,,,,,,,,,,,
2010-07-01,2010,3,2010 Q3,3.1%,,,,,,,,,,,,,
2010-10-01,2010,4,2010 Q4,2.1%,,,,,,,,,,,,,
2011-01-01,2011,1,2011 Q1,-0.9%,,,,,,,,,,,,,
2011-04-01,2011,2,2011 Q2,2.7%,,,,,,,,,,,,,
2011-07-01,2011,3,2011 Q3,-0.1%,,,,,,,,,,,,,
2011-10-01,2011,4,2011 Q4,4.6%,,,,,,,,,,,,,
2012-01-01,2012,1,2012 Q1,3.4%,,,,,,,,,,,,,
2012-04-01,2012,2,2012 Q2,1.8%,,,,,,,,,,,,,
2012-07-01,2012,3,2012 Q3,0.6%,,,,,,,,,,,,,
2012-10-01,2012,4,2012 Q4,0.5%,,,,,,,,,,,,,
2013-01-01,2013,1,2013 Q1,4.0%,,,,,,,,,,,,,
2013-04-01,2013,2,2013 Q2,1.1%,,,,,,,,,,,,,
2013-07-01,2013,3,2013 Q3,3.4%,,,,,,,,,,,,,
2013-10-01,2013,4,2013 Q4,3.5%,,,,,,,,,,,,,
2014-01-01,2014,1,2014 Q1,-1.4%,,,,,,,,,,,,,
2014-04-01,2014,2,2014 Q2,5.3%,,,,,,,,,,,,,
2014-07-01,2014,3,2014 Q3,5.0%,,,,,,,,,,,,,
2014-10-01,2014,4,2014 Q4,2.0%,,,,,,,,,,,,,
2015-01-01,2015,1,2015 Q1,3.7%,,,,,,,,,,,,,
2015-04-01,2015,2,2015 Q2,2.5%,,,,,,,,,,,,,
2015-07-01,2015,3,2015 Q3,1.6%,,,,,,,,,,,,,
2015-10-01,2015,4,2015 Q4,0.7%,,,,,,,,,,,,,
2016-01-01,2016,1,2016 Q1,2.3%,,,,,,,,,,,,,
2016-04-01,2016,2,2016 Q2,1.3%,,,,,,,,,,,,,
2016-07-01,2016,3,2016 Q3,2.9%,,,,,,,,,,,,,
2016-10-01,2016,4,2016 Q4,2.2%,,,,,,,,,,,,,
2017-01-01,2017,1,2017 Q1,2.0%,,,,,,,,,,,,,
2017-04-01,2017,2,2017 Q2,2.3%,,,,,,,,,,,,,
2017-07-01,2017,3,2017 Q3,3.2%,,,,,,,,,,,,,
2017-10-01,2017,4,2017 Q4,4.6%,,,,,,,,,,,,,
2018-01-01,2018,1,2018 Q1,3.3%,,,,,,,,,,,,,
2018-04-01,2018,2,2018 Q2,2.1%,,,,,,,,,,,,,
2018-07-01,2018,3,2018 Q3,2.5%,,,,,,,,,,,,,
2018-10-01,2018,4,2018 Q4,0.6%,,,,,,,,,,,,,
2019-01-01,2019,1,2019 Q1,2.5%,,,,,,,,,,,,,
2019-04-01,2019,2,2019 Q2,3.4%,,,,,,,,,,,,,
2019-07-01,2019,3,2019 Q3,4.8%,,,,,,,,,,,,,
2019-10-01,2019,4,2019 Q4,2.8%,,,,,,,,,,,,,
2020-01-01,2020,1,2020 Q1,-5.5%,,,,,,,,,,,,,
2020-04-01,2020,2,2020 Q2,-28.1%,,,,,,,,,,,,,
2020-07-01,2020,3,2020 Q3,35.2%,,,,,,,,,,,,,
2020-10-01,2020,4,2020 Q4,4.4%,,,,,,,,,,,,,
2021-01-01,2021,1,2021 Q1,5.6%,,,,,,,,,,,,,
2021-04-01,2021,2,2021 Q2,6.4%,,,,,,,,,,,,,
2021-07-01,2021,3,2021 Q3,3.5%,,,,,,,,,,,,,
2021-10-01,2021,4,2021 Q4,7.4%,,,,,,,,,,,,,
2022-01-01,2022,1,2022 Q1,-1.0%,0.4%,,,,,,,,,,,,
2022-04-01,2022,2,2022 Q2,0.3%,-0.4%,,,,,,,,,,,,
2022-07-01,2022,3,2022 Q3,2.7%,4.3%,,,,,,,,,,,,
2022-10-01,2022,4,2022 Q4,3.4%,2.2%,,,,,,,,,,,,
2023-01-01,2023,1,2023 Q1,2.8%,2.9%,,,,,,,,,,,,
2023-04-01,2023,2,2023 Q2,2.5%,2.3%,,,,,,,,,,,,
2023-07-01,2023,3,2023 Q3,4.4%,3.3%,,,,,,,,,,,,
2023-10-01,2023,4,2023 Q4,3.2%,3.9%,,,,,,,,,,,,
2024-01-01,2024,1,2024 Q1,1.6%,2.1%,,,,,,,,,,,,
2024-04-01,2024,2,2024 Q2,3.0%,2.7%,,,,,,,,,,,,
2024-07-01,2024,3,2024 Q3,3.1%,2.7%,,,,,,,,,,,,
2024-10-01,2024,4,2024 Q4,2.5%,2.8%,,,,,,,,,,,,
2025-01-01,2025,1,2025 Q1,-0.5%,0.6%,,,,,,,,,,,,
2025-04-01,2025,2,2025 Q2,3.8%,4.3%,,,,,,,,,,,,
2025-07-01,2025,3,2025 Q3,4.4%,2.4%,,,,,,,,,,,,
2025-10-01,2025,4,2025 Q4,0.7%,5.2%,,,,,,,,,,,,
2026-01-01,2026,1,2026 Q1,,2.2%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
